YEAR,CAUSE_NAME,region,DEATHS,AADR
2004,Cancer,Washington,10989,184.62
2004,Cancer,West Virginia,4694,212.15
2004,Cancer,Wisconsin,10861,184.66
2004,Cancer,Wyoming,875,171.67
2005,Cancer,Alabama,9913,204.36
2005,Cancer,Alaska,732,170.97
2005,Cancer,Arizona,9820,164.23
2005,Cancer,Arkansas,6361,207.68
2005,Cancer,California,54732,168.94
2005,Cancer,Colorado,6395,159.71
2005,Cancer,Connecticut,7052,176.81
2005,Cancer,Delaware,1799,199.1
2005,Cancer,District of Columbia,1151,205.27
2005,Cancer,Florida,40592,178.38
2005,Cancer,Georgia,14358,189.86
2005,Cancer,Hawaii,2169,151.26
2005,Cancer,Idaho,2368,174.6
2005,Cancer,Illinois,24250,192.12
2005,Cancer,Indiana,12796,199.83
2005,Cancer,Iowa,6453,183.72
2005,Cancer,Kansas,5428,185.58
2005,Cancer,Kentucky,9505,219.06
2005,Cancer,Louisiana,9249,208.55
2005,Cancer,Maine,3218,204.8
2005,Cancer,Maryland,10371,190.4
2005,Cancer,Massachusetts,13182,186.25
2005,Cancer,Michigan,20094,192.59
2005,Cancer,Minnesota,8823,168.95
2005,Cancer,Mississippi,6065,208.92
2005,Cancer,Missouri,12419,197.98
2005,Cancer,Montana,1956,184.15
2005,Cancer,Nebraska,3355,175.52
2005,Cancer,Nevada,4238,191
2005,Cancer,New Hampshire,2549,189.77
2005,Cancer,New Jersey,17171,185.02
2005,Cancer,New Mexico,3141,162.85
2005,Cancer,New York,35556,173.39
2005,Cancer,North Carolina,16724,191.2
2005,Cancer,North Dakota,1302,170.46
2005,Cancer,Ohio,24702,198.07
2005,Cancer,Oklahoma,7446,198.03
2005,Cancer,Oregon,7326,186.48
2005,Cancer,Pennsylvania,29616,195.57
2005,Cancer,Rhode Island,2292,186.83
2005,Cancer,South Carolina,8652,198.2
2005,Cancer,South Dakota,1612,182.58
2005,Cancer,Tennessee,12995,210.26
2005,Cancer,Texas,34291,178.89
2005,Cancer,Utah,2520,140.91
2005,Cancer,Vermont,1202,175.93
2005,Cancer,Virginia,13877,190.04
2005,Cancer,Washington,11048,181.04
2005,Cancer,West Virginia,4617,207.43
2005,Cancer,Wisconsin,10943,182.83
2005,Cancer,Wyoming,886,169.18
2006,Cancer,Alabama,9899,199.43
